ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
1.0,21.528888888888886,0.19213,34.61,,1760267825.1116478,0
1.0,17.97125,,,,1760267825.2389205,0
1.0,-13.902500000000002,0.188288,34.63,,1760267825.3661933,0
1.0,-47.17,,,,1760267825.493466,0
1.0,-75.41874999999999,0.189569,34.63,,1760267825.6207387,0
1.0,9.780000000000001,,,,1760267825.7480114,0
1.0,-6.228888888888888,0.19213,34.63,,1760267825.8752842,0
1.0,-3.7512500000000006,0.189569,34.63,,1760267826.0025568,0
1.0,55.161249999999995,,,,1760267826.1298296,0
1.0,140.04625,0.19213,34.63,,1760267826.2571023,0
1.0,137.7875,,,,1760267826.384375,0
1.0,-76.09375,0.19213,34.63,,1760267826.5116477,0
1.0,-190.4925,,,,1760267826.6389205,0
1.0,-22.428888888888892,0.189569,34.63,,1760267826.7661932,0
1.0,22.3325,,,,1760267826.893466,0
1.0,37.1475,0.189569,34.63,,1760267827.0207386,0
1.0,34.1725,,,,1760267827.1480114,0
1.0,10.981250000000001,0.19213,34.61,,1760267827.275284,0
1.0,-10.23375,,,,1760267827.402557,0
1.0,-36.92,0.19213,34.61,,1760267827.5298295,0
1.0,-68.17333333333333,,,,1760267827.6571023,0
1.0,13.146250000000004,0.190849,34.61,,1760267827.784375,0
1.0,41.989999999999995,,,,1760267827.9116478,0
1.0,33.7575,0.19213,34.61,,1760267828.0389204,0
1.0,33.1425,,,,1760267828.1661932,0
1.0,10.97625,0.188288,34.61,,1760267828.2934659,0
1.0,-11.16875,,,,1760267828.4207387,0
1.0,-36.596666666666664,0.188288,34.61,,1760267828.5480113,0
1.0,-57.86750000000001,,,,1760267828.6752841,0
1.0,30.255000000000003,0.188288,34.61,,1760267828.8025568,0
1.0,34.02375,,,,1760267828.9298296,0
1.0,28.3175,0.190849,34.61,,1760267829.0571022,0
1.0,25.177500000000002,,,,1760267829.184375,0
1.0,1.6350000000000005,0.19213,34.59,,1760267829.3116477,0
1.0,-20.526666666666667,,,,1760267829.4389205,0
1.0,-44.8275,0.19213,34.59,,1760267829.566193,0
1.0,-71.17375,,,,1760267829.693466,0
1.0,16.46,0.188288,34.59,,1760267829.8207386,0
1.0,40.17875,,,,1760267829.9480114,0
1.0,30.49125,0.188288,34.59,,1760267830.075284,0
1.0,30.07125,,,,1760267830.2025568,0
1.0,4.534444444444444,0.188288,34.59,,1760267830.3298295,0
1.0,-17.8125,,,,1760267830.4571023,0
1.0,-41.040000000000006,0.19213,34.59,,1760267830.584375,0
1.0,-74.78375,,,,1760267830.7116477,0
1.0,2.1224999999999987,0.19213,34.59,,1760267830.8389204,0
1.0,44.25125,,,,1760267830.9661932,0
1.0,30.43125,0.190849,34.59,,1760267831.0934658,0
1.0,33.43111111111111,,,,1760267831.2207386,0
1.0,8.4125,0.19213,34.59,,1760267831.3480113,0
1.0,-15.632499999999999,,,,1760267831.475284,0
1.0,-37.81375,0.189569,34.59,,1760267831.6025567,0
1.0,-66.3475,,,,1760267831.7298295,0
1.0,5.36875,0.189569,34.59,,1760267831.8571022,0
1.0,41.705,,,,1760267831.984375,0
1.0,26.10777777777778,0.190849,34.59,,1760267832.1116478,0
1.0,28.105,,,,1760267832.2389205,0
1.0,-0.9562499999999998,0.19213,34.59,,1760267832.3661933,0
1.0,-32.11875,,,,1760267832.493466,0
1.0,-63.4975,0.19213,34.59,,1760267832.6207387,0
1.0,-64.0475,,,,1760267832.7480114,0
1.0,42.80555555555556,0.19213,34.59,,1760267832.8752842,0
1.0,52.5975,0.188288,34.59,,1760267833.0025568,0
1.0,53.6225,,,,1760267833.1298296,0
1.0,27.825000000000003,0.189569,34.57,,1760267833.2571023,0
1.0,-5.994999999999999,,,,1760267833.384375,0
1.0,-31.995,0.188288,34.57,,1760267833.5116477,0
1.0,-63.4925,,,,1760267833.6389205,0
1.0,-28.35444444444444,0.19213,34.57,,1760267833.7661932,0
1.0,50.28375,,,,1760267833.893466,0
1.0,37.0075,0.193411,34.57,,1760267834.0207386,0
1.0,41.25875,,,,1760267834.1480114,0
1.0,21.363750000000003,0.19213,34.57,,1760267834.275284,0
1.0,-4.02625,,,,1760267834.402557,0
1.0,-26.7575,0.189569,34.57,,1760267834.5298295,0
1.0,-59.341111111111104,,,,1760267834.6571023,0
1.0,-44.1525,0.189569,34.57,,1760267834.784375,0
1.0,44.723749999999995,,,,1760267834.9116478,0
1.0,31.316249999999997,0.189569,34.57,,1760267835.0389204,0
1.0,35.53875,,,,1760267835.1661932,0
1.0,21.6,0.19213,34.57,,1760267835.2934659,0
1.0,-4.936249999999999,,,,1760267835.4207387,0
1.0,-29.12222222222222,0.19213,34.57,,1760267835.5480113,0
1.0,-57.78125,,,,1760267835.6752841,0
1.0,-6.08,0.190849,34.57,,1760267835.8025568,0
1.0,42.0275,,,,1760267835.9298296,0
1.0,25.590000000000003,0.189569,34.57,,1760267836.0571022,0
1.0,31.35625,,,,1760267836.184375,0
1.0,4.3475,0.190849,34.57,,1760267836.3116477,0
1.0,-26.008888888888887,,,,1760267836.4389205,0
1.0,-53.401250000000005,0.188288,34.57,,1760267836.566193,0
1.0,-22.033749999999998,,,,1760267836.693466,0
1.0,43.6425,0.190849,34.57,,1760267836.8207386,0
1.0,29.5175,,,,1760267836.9480114,0
1.0,32.3375,0.19213,34.57,,1760267837.075284,0
1.0,8.962499999999999,,,,1760267837.2025568,0
1.0,-19.645555555555557,0.19213,34.55,,1760267837.3298295,0
1.0,-45.20375,,,,1760267837.4571023,0
1.0,-51.125,0.208782,34.55,,1760267837.584375,0
1.0,35.69625,,,,1760267837.7116477,0
1.0,35.2875,0.189569,34.55,,1760267837.8389204,0
1.0,32.20875,,,,1760267837.9661932,0
1.0,18.90375,0.190849,34.55,,1760267838.0934658,0
1.0,-8.464444444444444,,,,1760267838.2207386,0
1.0,-30.77625,0.19213,34.57,,1760267838.3480113,0
1.0,-55.385,,,,1760267838.475284,0
1.0,-0.3949999999999996,0.19213,34.57,,1760267838.6025567,0
1.0,33.0175,,,,1760267838.7298295,0
1.0,26.925,0.19213,34.57,,1760267838.8571022,0
1.0,24.43875,,,,1760267838.984375,0
1.0,2.191111111111111,0.19213,34.57,,1760267839.1116478,0
1.0,-18.958750000000002,,,,1760267839.2389205,0
1.0,-39.60625,0.189569,34.57,,1760267839.3661933,0
1.0,-22.509999999999998,,,,1760267839.493466,0
1.0,29.88375,0.189569,34.57,,1760267839.6207387,0
